entropy_bin,total_samples,baseline_nonvanilla,ours_nonvanilla,loss_ours_nonvanilla_baseline_vanilla,loss_rate_among_ours
"[0.0,0.1]",3617,3216,3553,337,0.09484942302279764
"[0.1,0.2]",1447,1067,1393,326,0.2340272792534099
"[0.2,0.3]",1207,761,1142,381,0.3336252189141856
"[0.3,0.4]",1135,654,1069,415,0.3882132834424696
"[0.4,0.5]",972,466,919,453,0.4929270946681175
"[0.5,0.6]",989,356,916,560,0.611353711790393
"[0.6,0.7]",1023,277,949,672,0.708113804004215
"[0.7,0.8]",1071,167,1000,833,0.833
"[0.8,0.9]",1174,80,1088,1008,0.9264705882352942
"[0.9,1.0]",1843,20,1697,1677,0.9882144961697112
